case,activity,timestamp,enabled_activities
1,a,2019-01-01 13:00:00+00:00,"c, d, b, a"
1,b,2019-01-01 13:01:00+00:00,"d, b, c"
1,c,2019-01-01 13:02:00+00:00,"d, c"
1,d,2019-01-01 13:03:00+00:00,d
10,b,2019-01-01 13:36:00+00:00,"c, d, b, a"
10,c,2019-01-01 13:37:00+00:00,"c, d, a"
10,d,2019-01-01 13:38:00+00:00,"d, a"
10,a,2019-01-01 13:39:00+00:00,a
11,b,2019-01-01 13:40:00+00:00,"c, d, b, a"
11,d,2019-01-01 13:41:00+00:00,"c, d, a"
11,a,2019-01-01 13:42:00+00:00,"c, a"
11,c,2019-01-01 13:43:00+00:00,c
12,b,2019-01-01 13:44:00+00:00,"c, d, b, a"
12,d,2019-01-01 13:45:00+00:00,"c, d, a"
12,c,2019-01-01 13:46:00+00:00,"c, a"
12,a,2019-01-01 13:47:00+00:00,a
13,c,2019-01-01 13:48:00+00:00,"c, d, b, a"
13,a,2019-01-01 13:49:00+00:00,"d, b, a"
13,b,2019-01-01 13:50:00+00:00,"d, b"
13,d,2019-01-01 13:51:00+00:00,d
14,c,2019-01-01 13:52:00+00:00,"c, d, b, a"
14,a,2019-01-01 13:53:00+00:00,"d, b, a"
14,d,2019-01-01 13:54:00+00:00,"d, b"
14,b,2019-01-01 13:55:00+00:00,b
15,c,2019-01-01 13:56:00+00:00,"c, d, b, a"
15,b,2019-01-01 13:57:00+00:00,"d, b, a"
15,a,2019-01-01 13:58:00+00:00,"d, a"
15,d,2019-01-01 13:59:00+00:00,d
16,a,2019-01-01 13:03:00+00:00,"c, d, b, a"
16,c,2019-01-01 14:00:00+00:00,"d, b, c"
16,b,2019-01-01 14:01:00+00:00,"d, b"
16,d,2019-01-01 14:02:00+00:00,d
17,c,2019-01-01 13:04:00+00:00,"c, d, b, a"
17,d,2019-01-01 13:05:00+00:00,"d, b, a"
17,a,2019-01-01 13:06:00+00:00,"b, a"
17,b,2019-01-01 13:07:00+00:00,b
18,c,2019-01-01 13:08:00+00:00,"c, d, b, a"
18,d,2019-01-01 13:09:00+00:00,"d, b, a"
18,b,2019-01-01 13:10:00+00:00,"b, a"
18,a,2019-01-01 13:11:00+00:00,a
19,d,2019-01-01 13:12:00+00:00,"c, d, b, a"
19,a,2019-01-01 13:13:00+00:00,"c, b, a"
19,b,2019-01-01 13:14:00+00:00,"b, c"
19,c,2019-01-01 13:15:00+00:00,c
2,a,2019-01-01 13:04:00+00:00,"c, d, b, a"
2,b,2019-01-01 13:05:00+00:00,"d, b, c"
2,d,2019-01-01 13:06:00+00:00,"d, c"
2,c,2019-01-01 13:07:00+00:00,c
3,a,2019-01-01 13:08:00+00:00,"c, d, b, a"
3,c,2019-01-01 13:09:00+00:00,"d, b, c"
3,b,2019-01-01 13:10:00+00:00,"d, b"
3,d,2019-01-01 13:11:00+00:00,d
4,a,2019-01-01 13:12:00+00:00,"c, d, b, a"
4,c,2019-01-01 13:13:00+00:00,"d, b, c"
4,d,2019-01-01 13:14:00+00:00,"d, b"
4,b,2019-01-01 13:15:00+00:00,b
5,a,2019-01-01 13:16:00+00:00,"c, d, b, a"
5,d,2019-01-01 13:17:00+00:00,"d, b, c"
5,b,2019-01-01 13:18:00+00:00,"b, c"
5,c,2019-01-01 13:19:00+00:00,c
6,a,2019-01-01 13:20:00+00:00,"c, d, b, a"
6,d,2019-01-01 13:21:00+00:00,"d, b, c"
6,c,2019-01-01 13:22:00+00:00,"b, c"
6,b,2019-01-01 13:23:00+00:00,b
7,b,2019-01-01 13:24:00+00:00,"c, d, b, a"
7,a,2019-01-01 13:25:00+00:00,"c, d, a"
7,c,2019-01-01 13:26:00+00:00,"d, c"
7,d,2019-01-01 13:27:00+00:00,d
8,b,2019-01-01 13:28:00+00:00,"c, d, b, a"
8,a,2019-01-01 13:29:00+00:00,"c, d, a"
8,d,2019-01-01 13:30:00+00:00,"d, c"
8,c,2019-01-01 13:31:00+00:00,c
9,b,2019-01-01 13:32:00+00:00,"c, d, b, a"
9,c,2019-01-01 13:33:00+00:00,"c, d, a"
9,a,2019-01-01 13:34:00+00:00,"d, a"
9,d,2019-01-01 13:35:00+00:00,d
